feature,importance
age,0.21740610089686957
id,0.18158031317759826
ap_hi,0.1720279573920806
weight,0.1335705168164628
height,0.11929361437830201
ap_lo,0.08405064013430313
cholesterol,0.03687507228637823
gluc,0.014787974870685283
gender,0.01415803468418645
active,0.011905774997223222
smoke,0.007774448514523873
alco,0.0065695518513866616
